,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
31,2021-08-30,47054.98,48829.83,48902.4,49058.67,46942.22,48960.79,47706.12,49546.15,25889650240,42,60
32,2021-08-31,47166.69,47054.98,48829.83,48902.4,49058.67,46942.22,48960.79,47706.12,31847007016,45,61
33,2021-09-01,48847.03,47166.69,47054.98,48829.83,48902.4,49058.67,46942.22,48960.79,34730363427,44,60
34,2021-09-02,49327.72,48847.03,47166.69,47054.98,48829.83,48902.4,49058.67,46942.22,39139399125,43,62
35,2021-09-03,50025.37,49327.72,48847.03,47166.69,47054.98,48829.83,48902.4,49058.67,39508070319,50,66
36,2021-09-04,49944.63,50025.37,49327.72,48847.03,47166.69,47054.98,48829.83,48902.4,43206179619,49,67
37,2021-09-05,51753.41,49944.63,50025.37,49327.72,48847.03,47166.69,47054.98,48829.83,37471327794,45,66
38,2021-09-06,52633.54,51753.41,49944.63,50025.37,49327.72,48847.03,47166.69,47054.98,30322676319,42,65
39,2021-09-07,46811.13,52633.54,51753.41,49944.63,50025.37,49327.72,48847.03,47166.69,38884105426,52,69
40,2021-09-08,46091.39,46811.13,52633.54,51753.41,49944.63,50025.37,49327.72,48847.03,65210059683,87,100
41,2021-09-09,46391.42,46091.39,46811.13,52633.54,51753.41,49944.63,50025.37,49327.72,49007762488,80,76
42,2021-09-10,44883.91,46391.42,46091.39,46811.13,52633.54,51753.41,49944.63,50025.37,38672657013,57,69
43,2021-09-11,45201.46,44883.91,46391.42,46091.39,46811.13,52633.54,51753.41,49944.63,39154666597,51,66
44,2021-09-12,46063.27,45201.46,44883.91,46391.42,46091.39,46811.13,52633.54,51753.41,34499835245,45,59
45,2021-09-13,44963.07,46063.27,45201.46,44883.91,46391.42,46091.39,46811.13,52633.54,27881980161,42,60
46,2021-09-14,47092.49,44963.07,46063.27,45201.46,44883.91,46391.42,46091.39,46811.13,40969943253,47,60
47,2021-09-15,48176.35,47092.49,44963.07,46063.27,45201.46,44883.91,46391.42,46091.39,38652152880,45,54
48,2021-09-16,47783.36,48176.35,47092.49,44963.07,46063.27,45201.46,44883.91,46391.42,30484496466,46,54
49,2021-09-17,47267.52,47783.36,48176.35,47092.49,44963.07,46063.27,45201.46,44883.91,31764293754,44,58
50,2021-09-18,48278.36,47267.52,47783.36,48176.35,47092.49,44963.07,46063.27,45201.46,28727713711,43,58
51,2021-09-19,47260.22,48278.36,47267.52,47783.36,48176.35,47092.49,44963.07,46063.27,28575630451,41,53
